address,categories/0,categories/1,categoryName,cid,city,countryCode,isAdvertisement,locatedIn,latitude,longitude,menu,neighborhood,permanentlyClosed,phone,placeId,plusCode,postalCode,price,rank,reviewsCount,reviewsDistribution/fiveStar,reviewsDistribution/fourStar,reviewsDistribution/oneStar,reviewsDistribution/threeStar,reviewsDistribution/twoStar,scrapedAt,searchPageUrl,searchString,state,street,subTitle,temporarilyClosed,store_name,totalScore,url,website
"48, Jalan Telawi 5, Malaysia, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Fast food restaurant,Restaurant,Fast food restaurant,8.18986E+18,Kuala Lumpur,MY,FALSE,,3.1329823,101.6723034,,"48, Jalan Telawi 5",FALSE,+60 3-2284 3790,ChIJ9a-mtqJJzDERqPXc8Sg6qHE,"4MMC+5W Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",59100,$$,7,3462,1663,1047,201,440,111,2022-04-22T06:17:01.651Z,"https://www.google.com/maps/search/McDonald's+in+kl/@3.1409398,101.6235506,12z?hl=en",,Federal Territory of Kuala Lumpur,"48, Jalan Telawi 5",,FALSE,McDonald's Bangsar,4.1,"https://www.google.com/maps/place/McDonald's+Bangsar/@3.1329823,101.6701147,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc49a2b6a6aff5:0x71a83a28f1dcf5a8!8m2!3d3.1329133!4d101.6722948?hl=en",http://www.mcdonalds.com.my/
"Wisma Teck Lee, 38, Jalan Tun Perak, Ground & Mezzanine Floor, 50050 Kuala Lumpur, Malaysia",Fast food restaurant,Restaurant,Fast food restaurant,1.03782E+19,Kuala Lumpur,MY,FALSE,,3.1490492,101.6969146,,"Wisma Teck Lee, 38, Jalan Tun Perak, Ground & Mezzanine Floor",FALSE,+60 3-2026 6899,ChIJVSMpi9JJzDERB057VtKtBpA,"4MXW+JQ Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",50050,$$,6,1362,618,408,71,215,50,2022-04-22T06:17:02.163Z,"https://www.google.com/maps/search/McDonald's+in+kl/@3.1409398,101.6235506,12z?hl=en",,Federal Territory of Kuala Lumpur,"Wisma Teck Lee, 38, Jalan Tun Perak, Ground & Mezzanine Floor",,FALSE,McDonald's Jalan Tun Perak,4.1,"https://www.google.com/maps/place/McDonald's+Jalan+Tun+Perak/@3.1490492,101.6947259,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc49d28b292355:0x9006add2567b4e07!8m2!3d3.1490492!4d101.6969146?hl=en",https://www.mcdonalds.com.my/
"Petronas Petrol Station, Kuala Lumpur-Seremban Expy, Technology Park Malaysia, 50700 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",Restaurant,Business park,Restaurant,1.57873E+19,Kuala Lumpur,MY,FALSE,[NGV] Petronas - Technology Park Malaysia 1,3.0565947,101.7041153,,"Petronas Petrol Station, Kuala Lumpur-Seremban Expy",FALSE,+60 3-9054 1502,ChIJfRt7Xp5KzDERYWnmwt-bF9s,"3P43+JJ Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",50700,$$,20,3394,1383,993,249,595,174,2022-04-22T06:17:07.680Z,"https://www.google.com/maps/search/McDonald's+in+kl/@3.1409398,101.6235506,12z?hl=en",,Federal Territory of Kuala Lumpur,"Petronas Petrol Station, Kuala Lumpur-Seremban Expy",,FALSE,McDonald's Petronas TPM DT,3.9,"https://www.google.com/maps/place/McDonald's+Petronas+TPM+DT/@3.0565947,101.7019266,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc4a9e5e7b1b7d:0xdb179bdfc2e66961!8m2!3d3.0565988!4d101.7041304?hl=en",https://www.mcdonalds.com.my/
"Leisure Mall, LG-16, Lower Ground Floor, 6, Jln Cheras, Taman Bukit Segar, 56100 Cheras, Federal Territory of Kuala Lumpur, Malaysia",Restaurant,,Restaurant,5.47981E+18,Cheras,MY,FALSE,Cheras LeisureMall,3.0901159,101.7415653,,"Leisure Mall, LG-16, Lower Ground Floor, 6, Jln Cheras",FALSE,+60 3-9132 7577,ChIJk6U_6rc1zDERx_LIMLEzDEw,"3PRR+2J Cheras, Selangor, Malaysia",56100,$$,40,471,209,116,39,74,33,2022-04-22T06:17:13.064Z,"https://www.google.com/maps/search/McDonald's+in+kl/@3.1409351,101.6235505,12z?hl=en",,Federal Territory of Kuala Lumpur,"Leisure Mall, LG-16, Lower Ground Floor, 6, Jln Cheras",,FALSE,McDonald's Leisure Mall Cheras,3.9,"https://www.google.com/maps/place/McDonald's+Leisure+Mall+Cheras/@3.0901159,101.7393766,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc35b7ea3fa593:0x4c0c33b130c8f2c7!8m2!3d3.0901159!4d101.7415653?hl=en",https://www.mcdonalds.com.my/
"Lots F2.43, F2.44, F2.45, Level F2, AEON Wangsa Maju, 6, Jalan 8/27a, Section 5, 53300 Kuala Lumpur, Malaysia",Restaurant,,Restaurant,1.63235E+19,Kuala Lumpur,MY,FALSE,AEON BIG Wangsa Maju,3.1959149,101.7431869,,"Lots F2.43, F2.44, F2.45, Level F2, AEON Wangsa Maju, 6, Jalan 8/27a",FALSE,+60 3-4149 5655,ChIJ89XmPC84zDER_U-HnKfNiOI,"5PWV+97 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",53300,$$,39,322,140,87,37,45,13,2022-04-22T06:17:16.395Z,"https://www.google.com/maps/search/McDonald's+in+kl/@3.1409351,101.6235505,12z?hl=en",,Federal Territory of Kuala Lumpur,"Lots F2.43, F2.44, F2.45, Level F2, AEON Wangsa Maju, 6, Jalan 8/27a",,FALSE,McDonald's AEON Wangsa Maju,3.9,"https://www.google.com/maps/place/McDonald's+AEON+Wangsa+Maju/@3.1959149,101.7409982,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc382f3ce6d5f3:0xe288cda79c874ffd!8m2!3d3.1959149!4d101.7431869?hl=en",https://www.mcdonalds.com.my/
"Melati Utama, 53100 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia             Melati Utama, 53100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Fast food restaurant,Food and drink,Fast food restaurant,4.17131E+18,Kuala Lumpur,MY,FALSE,PETRONAS Taman Melati,3.2249971,101.7286707,,,FALSE,+60 3-4147 3107,ChIJaSzQTGc4zDER5Vzo3Qp24zk,"6PFH+XF Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",,$$,38,1576,775,446,119,200,36,2022-04-22T06:17:22.064Z,"https://www.google.com/maps/search/McDonald's+in+kl/@3.1409351,101.6235505,12z?hl=en",,Federal Territory of Kuala Lumpur,,,FALSE,McDonald's Petronas Taman Melati DT,4.1,"https://www.google.com/maps/place/McDonald's+Petronas+Taman+Melati+DT/@3.2249971,101.726482,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc38674cd02c69:0x39e3760adde85ce5!8m2!3d3.2249971!4d101.7286707?hl=en",http://www.mcdonalds.com.my/
"Lot PT 8669, Jln Lingkaran Tengah 2, 53100 Cheras, Federal Territory of Kuala Lumpur, Malaysia",Restaurant,,Restaurant,6.98309E+18,Cheras,MY,FALSE,BHPetrol Taman Desa Melawati,3.2201601,101.7358626,,"Lot PT 8669, Jln Lingkaran Tengah 2",FALSE,+60 3-4162 2318,ChIJT2JEOBQ5zDER12GP6-Ls6GA,"6PCP+38 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",53100,$$,37,2738,1219,917,97,412,93,2022-04-22T06:17:28.183Z,"https://www.google.com/maps/search/McDonald's+in+kl/@3.1409351,101.6235505,12z?hl=en",,Federal Territory of Kuala Lumpur,"Lot PT 8669, Jln Lingkaran Tengah 2",,FALSE,McDonald's BHP Taman Melawati DT,4.1,"https://www.google.com/maps/place/McDonald's+BHP+Taman+Melawati+DT/@3.2201601,101.7336739,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc39143844624f:0x60e8ece2eb8f61d7!8m2!3d3.2201444!4d101.7358509?hl=en",https://www.mcdonalds.com.my/
"Lot 25747, Lebuh Raya Selayang, Kepong Lebuh Raya, Lingkaran Tengah 2 (MRR 2), 52100 Kepong, Federal Territory of Kuala Lumpur, Malaysia",Restaurant,,Restaurant,3.29471E+18,Kuala Lumpur,MY,FALSE,Petronas MRR2,3.2292482,101.6550821,,"Lot 25747, Lebuh Raya Selayang, Kepong Lebuh Raya, Lingkaran Tengah 2 (MRR 2), 52100 Kepong",FALSE,+60 3-6259 6498,ChIJpaEKjrtHzDERONUBUIoouS0,"6MH4+M2 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",,$$,36,60,24,18,5,10,3,2022-04-22T06:17:35.750Z,"https://www.google.com/maps/search/McDonald's+in+kl/@3.1409351,101.6235505,12z?hl=en",,Federal Territory of Kuala Lumpur,"Lot 25747, Lebuh Raya Selayang, Kepong Lebuh Raya, Lingkaran Tengah 2 (MRR 2), 52100 Kepong",,FALSE,McDonald's Petronas MRR2 Kepong DT,3.9,"https://www.google.com/maps/place/McDonald's+Petronas+MRR2+Kepong+DT/@3.2292482,101.6528934,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc47bb8e0aa1a5:0x2db9288a5001d538!8m2!3d3.2293061!4d101.6550622?hl=en",https://www.mcdonalds.com.my/
"McDonald's, Bangunan Restoran, Jalan Mewah Utara, 68000 Ampang Jaya, Kuala Lumpur, Malaysia",Restaurant,,Restaurant,1.67236E+19,Ampang Jaya,MY,FALSE,,3.1281168,101.762852,,"McDonald's, Bangunan Restoran, Jalan Mewah Utara",FALSE,+60 3-4295 5046,ChIJHXPOm402zDERcG1b8U8MFug,"4QH7+64 Ampang Jaya, Selangor, Malaysia",68000,$$,52,2886,1285,800,218,461,122,2022-04-22T06:17:43.909Z,"https://www.google.com/maps/search/McDonald's+in+kl/@3.1409351,101.6235505,12z/data=!3m1!4b1?hl=en",,Kuala Lumpur,"McDonald's, Bangunan Restoran, Jalan Mewah Utara",,FALSE,McDonald's Pandan Mewah DT,4,"https://www.google.com/maps/place/McDonald's+Pandan+Mewah+DT/@3.1281168,101.7606633,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc368d9bce731d:0xe8160c4ff15b6d70!8m2!3d3.1281168!4d101.762852?hl=en",https://www.mcdonalds.com.my/
"No. 66, Block Crystal, Jalan 1/19, 46200 Petaling Jaya, Selangor, Malaysia",Restaurant,,Restaurant,1.27166E+19,Petaling Jaya,MY,FALSE,,3.0866362,101.6468715,,"No. 66, Block Crystal, Jalan 1/19",FALSE,+60 3-7783 6755,ChIJIRlStLtLzDERrxOYVbiQerA,"3JPW+MP Petaling Jaya, Selangor, Malaysia",46200,$$,51,1643,605,436,132,342,128,2022-04-22T06:17:51.525Z,"https://www.google.com/maps/search/McDonald's+in+kl/@3.1409351,101.6235505,12z/data=!3m1!4b1?hl=en",,Selangor,"No. 66, Block Crystal, Jalan 1/19",,FALSE,McDonald's PJ Old Town,3.8,"https://www.google.com/maps/place/McDonald's+PJ+Old+Town/@3.0866362,101.6446828,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc4bbbb4521921:0xb07a90b8559813af!8m2!3d3.0866367!4d101.6468658?hl=en",https://www.mcdonalds.com.my/
